Gene	Uniprot
LINGO1	Q96FE5
LIPI	Q6XZB0
LIPJ	Q5W064
LMCD1	Q9NZU5
LMOD2	Q6P5Q4
LMTK2	Q8IWU2
LNX2	Q8N448
LONRF1	Q17RB8
LONRF3	Q496Y0
LOXHD1	Q8IVV2
LPAR3	Q9UBY5
LPAR4	Q99677
LPIN1	Q14693
LPIN2	Q92539
LRCH2	Q5VUJ6
LRFN2	Q9ULH4
LRP11	Q86VZ4
LRP12	Q9Y561
LRRC15	Q8TF66
LRRC26	Q2I0M4
LRRC45	Q96CN5
LRRC69	Q6ZNQ3
LRRC7	
LRRC9	Q6ZRR7
LRRFIP2	Q9Y608
LRRIQ3	A6PVS8
LSMEM2	Q8N112
LSR	Q86X29
LST1	O00453
LTB4R2	Q9NPC1
LUZP2	Q86TE4
LY6K	Q17RY6
LY9	Q9HBG7
LYN	P07948
LYPD1	Q8N2G4
LYST	Q99698
LZTS1	Q9Y250
LZTS2	Q9BRK4
MACF1	Q9UPN3
MADD	Q8WXG6
MAMDC2	Q7Z304
MAP2	P11137
MAP2K1	Q02750
MAP2K7	O14733
MAP3K12	Q12852
MAP3K21	Q5TCX8
MAP3K6	O95382
MAP3K7	O43318
MAP4	P27816
MAP4K1	Q92918
MAP4K5	Q9Y4K4
MAP6	Q96JE9
MAPK8IP1	Q9UQF2
MAPK9	P45984
MAPT	P10636
MARCHF10	Q8NA82
MARCHF7	Q9H992
MARCKS	P29966
MARK2	Q7KZI7
MAS1L	P35410
MAT2B	Q9NZL9
MATCAP2	Q8NCT3
MBP	P02686
MC5R	P33032
MCAM	P43121
MCEMP1	Q8IX19
MCF2	P10911
MCTS1	Q9ULC4
MCTS2	A0A3B3IRV3
MDGA1	Q8NFP4
ME1	P48163
MEGF10	Q96KG7
MERTK	Q12866
MET	P08581
METAP1	P53582
METAP2	P50579
METTL25	Q8N6Q8
MFSD1	Q9H3U5
MFSD2A	Q8NA29
MGAT4C	Q9UBM8
MIB1	Q86YT6
MICAL2	O94851
MICAL3	Q7RTP6
MICB	Q29980
MIEN1	Q9BRT3
MISP	Q8IVT2
MKLN1	Q9UL63
MKRN3	Q13064
MLF2	Q15773
MLIP	Q5VWP3
MLKL	Q8NB16
MLNR	O43193
MMACHC	Q9Y4U1
MMP10	P09238
MMP15	P51511
MMP24	Q9Y5R2
MMP25	Q9NPA2
MPHOSPH8	Q99549
MPHOSPH9	Q99550
MPI	P34949
MPIG6B	O95866
MPL	P40238
MPP1	Q00013
MPZL1	O95297
MR1	Q95460
MRGPRF	Q96AM1
MRNIP	Q6NTE8
MRPL42	Q9Y6G3
MRPL44	Q9H9J2
MRPL58	Q14197
MS4A1	P11836
MS4A12	Q9NXJ0
MS4A14	Q96JA4
MS4A15	Q8N5U1
MSLN	Q13421
MSN	P26038
MSRA	Q9UJ68
MTCP1	P56278
MTM1	Q13496
MTPN	P58546
MTSS1	O43312
MUC1	P15941
MUC20	Q8N307
MYH11	P35749
MYH9	P35579
MYL4	P12829
MYLK	Q15746
MYO10	Q9HD67
MYO1B	O43795
MYO1C	O00159
MYO1E	Q12965
MYO1G	B0I1T2
MYO3A	Q8NEV4
MYO5B	Q9ULV0
MYO9A	B2RTY4
MYOF	Q9NZM1
N4BP2	Q86UW6
NAA35	Q5VZE5
NAB1	Q13506
NAIF1	Q69YI7
NAP1L2	Q9ULW6
NAPG	Q99747
NCAM1	P13591
NCAM2	O15394
NCK1	P16333
NCKAP1L	P55160
NCKAP5	O14513
NCKIPSD	Q9NZQ3
NCOA1	Q15788
NCS1	P62166
NDC1	Q9BTX1
NDRG4	Q9ULP0
NECTIN4	Q96NY8
NEDD9	Q14511
NEO1	Q92859
NEXN	Q0ZGT2
NF1	P21359
NF2	P35240
NFAM1	Q8NET5
NFE2L2	Q16236
NFKBID	Q8NI38
NFX1	Q12986
NGEF	Q8N5V2
NGFR	P08138
NHSL2	Q5HYW2
NIBAN1	Q9BZQ8
NIBAN2	Q96TA1
NID2	Q14112
NINJ2	Q9NZG7
NKTR	P30414
NKX2-8	O15522
NLGN1	Q8N2Q7
NLRC4	Q9NPP4
NLRX1	Q86UT6
NMB	P08949
NMBR	P28336
NME2	P22392
NMT1	P30419
NMT2	O60551
NMUR2	Q9GZQ4
NOS1	P29475
NOTCH2	Q04721
NOTCH3	Q9UM47
NOXRED1	Q6NXP6
NPAP1	Q9NZP6
NPFFR2	Q9Y5X5
NPL	Q9BXD5
NPR1	P16066
NPTN	Q9Y639
NPTXR	O95502
NRAS	P01111
NRCAM	Q92823
NRP2	O60462
NRSN1	Q8IZ57
NRXN1	"P58400, Q9ULB1"
NSD1	Q96L73
NSFL1C	Q9UNZ2
NT5C1B	Q96P26
NT5C1B-RDH14	
NT5E	P21589
NTNG1	Q9Y2I2
NTNG2	Q96CW9
NTRK2	Q16620
NTSR1	P30989
NUDCD3	Q8IVD9
NUP35	Q8NFH5
NUS1	Q96E22
OAS3	Q9Y6K5
OBSCN	Q5VST9
OCA2	Q04671
OCLN	Q16625
OCM	P0CE72
OCM2	P0CE71
ODC1	P11926
ODR4	Q5SWX8
OGT	O15294
OLFM4	Q6UX06
OLIG2	Q13516
OLR1	P78380
OPHN1	O60890
OPRK1	P41145
OR10P1	Q8NGE3
OR13C2	Q8NGS9
OR13C5	Q8NGS8
OR13C9	Q8NGT0
OR2C3	Q8N628
OR6B2	Q6IFH4
OR6B3	Q8NGW1
OR6C6	A6NF89
OSBPL6	Q9BZF3
OSBPL7	Q9BZF2
OSCAR	Q8IYS5
OSCP1	Q8WVF1
OSR2	Q8N2R0
OTOP2	Q7RTS6
OTULIN	Q96BN8
OXGR1	Q96P68
P3H3	Q8IVL6
PACS1	Q6VY07
PACSIN2	Q9UNF0
PACSIN3	Q9UKS6
PAFAH1B2	P68402
PAG1	Q9NWQ8
PAIP1	Q9H074
PAK1	Q13153
PAK4	O96013
PALLD	Q8WX93
PALM	O75781
PALM2AKAP2	"Q8IXS6, Q9Y2D5"
PALM3	A6NDB9
PALMD	Q9NP74
PALS1	Q8N3R9
PANX1	Q96RD7
PANX2	Q96RD6
PAQR8	Q8TEZ7
PARD3	Q8TEW0
PARD6G	Q9BYG4
PARP6	Q2NL67
PAWR	Q96IZ0
PCBD2	Q9H0N5
PCDH17	O14917
PCDH7	O60245
PCDHA1	Q9Y5I3
PCDHA12	Q9UN75
PCDHA4	Q9UN74
PCDHA5	Q9Y5H7
PCDHB1	Q9Y5F3
PCDHB11	Q9Y5F2
PCDHB12	Q9Y5F1
PCDHB16	Q9NRJ7
PCDHB4	Q9Y5E5
PCDHB5	Q9Y5E4
PCDHGA1	Q9Y5H4
PCDHGA10	Q9Y5H3
PCDHGA11	Q9Y5H2
PCDHGA12	O60330
PCDHGA2	Q9Y5H1
PCDHGA3	Q9Y5H0
PCDHGA4	Q9Y5G9
PCDHGA5	Q9Y5G8
PCDHGA6	Q9Y5G7
PCDHGA7	Q9Y5G6
PCDHGA8	Q9Y5G5
PCDHGA9	Q9Y5G4
PCDHGB1	Q9Y5G3
PCDHGB2	Q9Y5G2
PCDHGB3	Q9Y5G1
PCDHGB4	Q9UN71
PCDHGB5	Q9Y5G0
PCDHGB6	Q9Y5F9
PCDHGB7	Q9Y5F8
PCDHGC3	Q9UN70
PCDHGC4	Q9Y5F7
PCDHGC5	Q9Y5F6
PCLO	Q9Y6V0
PCMTD1	Q96MG8
PDAP1	Q13442
PDCD7	Q8N8D1
PDE3A	Q14432
PDE4A	P27815
PDE4D	Q08499
PDE9A	O76083
PDGFC	Q9NRA1
PDGFRA	P16234
PDHX	O00330
PDLIM1	O00151
PDLIM5	Q96HC4
PDPN	Q86YL7
PDZD2	O15018
PDZD8	Q8NEN9
PEBP1	P30086
PECAM1	P16284
PFDN1	O60925
PGAP3	Q96FM1
PGLYRP4	Q96LB8
PGRMC2	O15173
PHACTR1	Q9C0D0
PHACTR2	O75167
PHACTR4	Q8IZ21
PHF20L1	A8MW92
PHGDH	O43175
PHLDB1	Q86UU1
PHLDB2	Q86SQ0
PHLDB3	Q6NSJ2
PHOSPHO1	Q8TCT1
PHPT1	Q9NRX4
PI3	P19957
PI4K2A	Q9BTU6
PI4KA	P42356
PIEZO2	Q9H5I5
PIGB	Q92521
PIGN	O95427
PIGW	Q7Z7B1
PIGX	Q8TBF5
PIK3AP1	Q6ZUJ8
PIK3C2G	O75747
PIK3CG	P48736
PIK3R6	Q5UE93
PIP4K2A	P48426
PIP4K2C	Q8TBX8
PIP5K1A	Q99755
PIRT	P0C851
PITPNM3	Q9BZ71
PKD2L1	Q9P0L9
PKD2L2	Q9NZM6
PKN1	Q16512
PKN2	Q16513
PKP1	Q13835
PKP4	Q99569
PLA2G4D	Q86XP0
PLA2G6	O60733
PLAA	Q9Y263
PLAUR	Q03405
PLCB1	Q9NQ66
PLCB2	Q00722
PLCD3	Q8N3E9
PLCD4	Q9BRC7
PLD1	Q13393
PLEKHA4	Q9H4M7
PLEKHG3	A1L390
PLEKHH2	Q8IVE3
PLEKHO2	Q8TD55
PLIN4	Q96Q06
PLPP1	O14494
PLPP2	O43688
PLPPR5	Q32ZL2
PLS1	Q14651
PLS3	P13797
PLSCR1	O15162
PLVAP	Q9BX97
PLXNA3	P51805
PLXNA4	Q9HCM2
PNCK	Q6P2M8
PNISR	Q8TF01
PODXL	O00592
POLE	Q07864
POU2F3	Q9UKI9
PPEF1	O14829
PPFIBP1	Q86W92
PPIP5K1	Q6PFW1
PPL	O60437
PPM1A	P35813
PPM1F	P49593
PPP1CA	P62136
PPP1R12A	O14974
PPP1R12B	O60237
PPP1R16A	Q96I34
PPP1R16B	Q96T49
PPP1R18	Q6NYC8
PPP1R27	Q86WC6
PPP1R9A	Q9ULJ8
PPP2R1B	P30154
PPP3R1	P63098
PPP3R2	Q96LZ3
PPP4C	P60510
PPP6R3	Q5H9R7
PPTC7	Q8NI37
PRAME	P78395
PRC1	O43663
PRDX6	P30041
PRIMA1	Q86XR5
PRKCA	P17252
PRKCE	Q02156
PRKCH	P24723
PRKCZ	Q05513
PRKD1	Q15139
PRKD3	O94806
PROM2	Q8N271
PROSER2	Q86WR7
PRR32	B1ATL7
PRR7	Q8TB68
PRRC2A	P48634
PRRG1	O14668
PRRT2	Q7Z6L0
PRRT3	Q5FWE3
PRRT4	C9JH25
PRTG	Q2VWP7
PRX	Q9BXM0
PSCA	O43653
PSD	A5PKW4
PSD2	Q9BQI7
PSMC5	P62195
PSMC6	P62333
PSMD9	O00233
PSTPIP1	O43586
PSTPIP2	Q9H939
PTAFR	P25105
PTCH2	Q9Y6C5
PTCHD4	Q6ZW05
PTGDR	Q13258
PTK2B	Q14289
PTK6	Q13882
PTPN12	Q05209
PTPN22	Q9Y2R2
PTPN4	P29074
PTPRB	P23467
PTPRCAP	Q14761
PTPRG	P23470
PTPRH	Q9HD43
PTPRK	Q15262
PTPRM	P28827
PTPRR	Q15256
PTPRS	Q13332
PTX3	P26022
PURG	Q9UJV8
PVR	P15151
PXDC1	Q5TGL8
PXK	Q7Z7A4
PYGL	P06737
PYGO2	Q9BRQ0
RAB13	P51153
RAB23	Q9ULC3
RAB25	P57735
RAB26	Q9ULW5
RAB27B	O00194
RAB3GAP2	Q9H2M9
RAB41	Q5JT25
RAB43	Q86YS6
RAB8A	P61006
RAD52	P43351
RAET1G	Q6H3X3
RAET1L	Q5VY80
RAF1	P04049
RAI2	Q9Y5P3
RALA	P11233
RALBP1	Q15311
RALGAPA2	Q2PPJ7
RAMP3	O60896
RAPGEF2	Q9Y4G8
RAPH1	Q70E73
RAPSN	Q13702
RASAL1	O95294
RASAL2	Q9UJF2
RASAL3	Q86YV0
RASD1	Q9Y272
RASD2	Q96D21
RASGRP1	O95267
RASGRP2	Q7LDG7
RASGRP4	Q8TDF6
RASSF2	P50749
RASSF3	Q86WH2
RC3H1	Q5TC82
RCCD1	A6NED2
RCSD1	Q6JBY9
RDX	P35241
RECK	O95980
RELL1	Q8IUW5
REPS1	Q96D71
RET	P07949
RFLNB	Q8N5W9
RFPL1	O75677
RFPL2	O75678
RFPL3	O75679
RFTN2	Q52LD8
RGP1	Q92546
RGR	P47804
RGS14	O43566
RGS3	P49796
RGS7BP	Q6MZT1
RGS9BP	Q6ZS82
RHCE	P18577
RHD	Q02161
RHEX	Q6ZWK4
RHOA	P61586
RHOBTB2	Q9BYZ6
RHOJ	Q9H4E5
RHOXF2	Q9BQY4
RHOXF2B	P0C7M4
RIC8A	Q9NPQ8
RIC8B	Q9NVN3
RIF1	Q5UIP0
RIGI	O95786
RILPL1	Q5EBL4
RIMBP3	Q9UFD9
RIMBP3B	A6NNM3
RIMBP3C	A6NJZ7
RIMS2	Q9UQ26
RIOK2	Q9BVS4
RIOK3	O14730
RIPK1	Q13546
RND1	Q92730
RNF114	Q9Y508
RNF145	Q96MT1
RNF146	Q9NTX7
RNF149	Q8NC42
RNF165	Q6ZSG1
RNF166	Q96A37
RNF39	Q9H2S5
ROBO1	Q9Y6N7
ROBO2	Q9HCK4
ROBO3	Q96MS0
ROBO4	Q8WZ75
ROM1	Q03395
RP2	O75695
RPE	Q96AT9
RPEL1	Q2QD12
RPGRIP1L	Q68CZ1
RPIA	P49247
RPL36A	P83881
RPL36A-HNRNPH2	
RPL36AL	Q969Q0
RPSA	P08865
RRAD	P55042
RRP12	Q5JTH9
RSBN1L	Q6PCB5
RSKR	
RSPH3	
RTL3	Q8N8U3
RTL4	Q6ZR62
RTN4R	Q9BZR6
RTN4RL1	Q86UN2
RYR2	Q92736
S100A13	Q99584
S100A14	Q9HCY8
S100A16	Q96FQ6
S100A2	P29034
S100A3	P33764
S100A6	P06703
S100A9	P06702
SAMSN1	Q9NSI8
SASH3	O75995
SC5D	O75845
SCAMP4	Q969E2
SCEL	O95171
SCHIP1	P0DPB3
SCIN	Q9Y6U3
SCN1A	P35498
SCN5A	Q14524
SCN7A	Q01118
SCN8A	Q9UQD0
SCN9A	Q15858
SCNN1D	P51172
SCNN1G	P51170
SCRIB	Q14160
SCUBE3	Q8IX30
SDC2	P34741
SDC4	P31431
SDE2	Q6IQ49
SDHB	P21912
SEC16B	Q96JE7
SEMA3C	Q99985
SEMA6D	Q8NFY4
SEPTIN2	Q15019
SEPTIN3	Q9UH03
SEPTIN7	Q16181
SERINC2	Q96SA4
SERINC5	Q86VE9
SERPINB3	P29508
SERPINB4	P48594
SFSWAP	Q12872
SGCE	O43556
SH3BGR	P55822
SH3D21	A4FU49
SH3PXD2B	A1X283
SHANK1	Q9Y566
SHANK2	Q9UPX8
SHANK3	
SHARPIN	Q9H0F6
SHISA6	Q6ZSJ9
SHROOM2	Q13796
SHTN1	A0MZ66
SIGLEC10	Q96LC7
SIGLEC14	Q08ET2
SIGLEC6	O43699
SIGLEC7	Q9Y286
SIN3B	O75182
SIPA1	Q96FS4
SIPA1L1	O43166
SIPA1L3	O60292
SKAP1	Q86WV1
SLAMF6	Q96DU3
SLC10A5	Q5PT55
SLC12A2	P55011
SLC13A3	Q8WWT9
SLC13A5	Q86YT5
SLC14A1	Q13336
SLC16A1	P53985
SLC16A2	P36021
SLC16A3	O15427
SLC16A7	O60669
SLC17A5	Q9NRA2
SLC19A1	P41440
SLC19A3	Q9BZV2
SLC1A5	Q15758
SLC1A6	P48664
SLC20A1	Q8WUM9
SLC22A16	Q86VW1
SLC24A2	Q9UI40
SLC24A4	Q8NFF2
SLC26A6	Q9BXS9
SLC27A1	Q6PCB7
SLC28A1	O00337
SLC2A1	P11166
SLC2A12	Q8TD20
SLC2A14	Q8TDB8
SLC2A2	P11168
SLC2A3	P11169
SLC2A5	P22732
SLC30A1	Q9Y6M5
SLC30A8	Q8IWU4
SLC31A2	O15432
SLC34A1	Q06495
SLC34A2	O95436
SLC35F5	Q8WV83
SLC35G2	Q8TBE7
SLC36A4	Q6YBV0
SLC38A2	Q96QD8
SLC38A5	Q8WUX1
SLC38A6	Q8IZM9
SLC38A7	Q9NVC3
SLC39A10	Q9ULF5
SLC39A14	Q15043
SLC39A2	Q9NP94
SLC39A6	Q13433
SLC3A2	P08195
SLC40A1	Q9NP59
SLC41A3	Q96GZ6
SLC43A1	O75387
SLC43A3	Q8NBI5
SLC45A4	Q5BKX6
SLC46A1	Q96NT5
SLC46A3	Q7Z3Q1
SLC4A1AP	Q9BWU0
SLC4A2	P04920
SLC4A7	Q9Y6M7
SLC4A8	Q2Y0W8
SLC4A9	Q96Q91
SLC5A12	Q1EHB4
SLC5A3	P53794
SLC5A6	Q9Y289
SLC6A7	Q99884
SLC7A14	Q8TBB6
SLC7A2	P52569
SLC7A4	O43246
SLC7A5	Q01650
SLC7A6	Q92536
SLC8A1	P32418
SLC9A1	P19634
SLC9A3	P48764
SLC9A3R1	O14745
SLC9A3R2	Q15599
SLC9A4	Q6AI14
SLC9A5	Q14940
SLC9C2	Q5TAH2
SLCO1A2	P46721
SLCO1B1	Q9Y6L6
SLCO1B3	Q9NPD5
SLCO4C1	Q6ZQN7
SLCO5A1	Q9H2Y9
SLIT1	O75093
SLITRK6	Q9H5Y7
SMAGP	Q0VAQ4
SMAP1	Q8IYB5
SMCO3	A2RU48
SMG9	Q9H0W8
SMOC1	Q9H4F8
SMPD2	O60906
SMPX	Q9UHP9
SNAP23	O00161
SNAP25	P60880
SNRK	Q9NRH2
SNTB2	Q13425
SNTG2	Q9NY99
SNUPN	O95149
SNX15	Q9NRS6
SNX9	Q9Y5X1
SOCS3	O14543
SOCS5	O75159
SOD1	P00441
SORBS1	Q9BX66
SORBS3	O60504
SORCS1	Q8WY21
SORT1	Q99523
SOX11	P35716
SPAG16	Q8N0X2
SPANXN4	Q5MJ08
SPATA1	
SPATA12	Q7Z6I5
SPATC1L	Q9H0A9
SPG11	Q96JI7
SPHK1	Q9NYA1
SPINK13	Q1W4C9
SPINT1	O43278
SPINT2	O43291
SPN	P16150
SPPL2B	Q8TCT7
SPPL3	Q8TCT6
SPRED3	Q2MJR0
SPRYD3	Q8NCJ5
SPTBN2	O15020
SPTLC2	O15270
SRC	P12931
SRD5A3	Q9H8P0
SRPK1	Q96SB4
SRPRB	Q9Y5M8
SRRM3	
SSH1	Q8WYL5
SSH3	Q8TE77
SSTR5	P35346
ST8SIA5	O15466
STAB1	Q9NY15
STAC	Q99469
STAMBP	O95630
STAMBPL1	Q96FJ0
STARD4	Q96DR4
STAT2	P52630
STEAP4	Q687X5
STIP1	P31948
STK10	O94804
STK16	O75716
STK17A	Q9UEE5
STOM	P27105
STOML2	Q9UJZ1
STOML3	Q8TAV4
STX18	Q9P2W9
STX4	Q12846
STXBP4	Q6ZWJ1
STYK1	Q6J9G0
SUCLG1	P53597
SUCLG2	Q96I99
SUGT1	Q9Y2Z0
SUMF2	Q8NBJ7
SUN3	Q8TAQ9
SUPT6H	Q7KZ85
SUSD2	Q9UGT4
SVIL	O95425
SWAP70	Q9UH65
SYK	P43405
SYMPK	Q92797
SYNC	Q9H7C4
SYNGR3	O43761
SYNPO	Q8N3V7
SYPL2	Q5VXT5
SYT4	Q9H2B2
SYTL2	Q9HCH5
SYVN1	Q86TM6
TACC2	O95359
TACR2	P21452
TACSTD2	P09758
TAFAZZIN	Q16635
TAPBP	O15533
TAS1R3	Q7RTX0
TAS2R10	Q9NYW0
TASP1	Q9H6P5
TBC1D10A	Q9BXI6
TBC1D2	Q9BYX2
TBC1D24	Q9ULP9
TBC1D30	Q9Y2I9
TBC1D9B	Q66K14
TBXA2R	P21731
TCAF2	A6NFQ2
TCAF2C	
TCHP	Q9BT92
TCIM	Q9NR00
TDG	Q13569
TDO2	P48775
TDP1	Q9NUW8
TEC	P42680
TEK	Q02763
TEKT3	Q9BXF9
TEKTIP1	A6NCJ1
TENM1	Q9UKZ4
TENT4B	Q8NDF8
TES	Q9UGI8
TEX13C	A0A0J9YWL9
TEX14	Q8IWB6
TEX9	Q8N6V9
TGFBR1	P36897
TGFBR2	P37173
TGM1	P22735
TGM2	P21980
THBS1	P07996
THBS2	P35442
THEGL	P0DJG4
THY1	P04216
TICAM1	Q8IUC6
TIGD7	Q6NT04
TIMD4	Q96H15
TJP2	Q9UDY2
TJP3	O95049
TLN1	Q9Y490
TLR10	Q9BXR5
TLR4	O00206
TM2D2	Q9BX73
TM4SF18	Q96CE8
TM4SF20	Q53R12
TM4SF4	P48230
TM4SF5	O14894
TMC5	Q6UXY8
TMCO5A	Q8N6Q1
TMED8	Q6PL24
TMEM101	Q96IK0
TMEM107	Q6UX40
TMEM108	Q6UXF1
TMEM121B	Q9BXQ6
TMEM139	Q8IV31
TMEM176B	Q3YBM2
TMEM183A	Q8IXX5
TMEM218	A2RU14
TMEM222	Q9H0R3
TMEM229A	B2RXF0
TMEM245	Q9H330
TMEM254	Q8TBM7
TMEM258	P61165
TMEM266	Q2M3C6
TMEM268	Q5VZI3
TMEM40	Q8WWA1
TMEM50A	O95807
TMEM52	Q8NDY8
TMEM63B	Q5T3F8
TMPRSS13	Q9BYE2
TMPRSS15	P98073
TMPRSS2	O15393
TMTC2	Q8N394
TNFRSF10D	Q9UBN6
TNFRSF11A	Q9Y6Q6
TNFRSF12A	Q9NP84
TNFRSF21	O75509
TNFRSF25	Q93038
TNFRSF8	P28908
TNFRSF9	Q07011
TNFSF13B	Q9Y275
TNK2	Q07912
TNKS1BP1	Q9C0C2
TNNI2	P48788
TOGARAM2	Q6ZUX3
TOM1	O60784
TOR2A	"Q5JU69, Q8N2E6"
TPD52L1	Q16890
TPRG1L	Q5T0D9
TPRN	Q4KMQ1
TRAF7	Q6Q0C0
TRAIP	Q9BWF2
TRAPPC13	A5PLN9
TRAPPC14	Q8WVR3
TRAT1	Q6PIZ9
TRDN	Q13061
TREML1	Q86YW5
TREML4	Q6UXN2
TRIB1	Q96RU8
TRIM16	O95361
TRIM36	Q9NQ86
TRIM38	O00635
TRIM4	Q9C037
TRIM44	Q96DX7
TRIM54	Q9BYV2
TRIM71	Q2Q1W2
TRIML2	Q8N7C3
TRIP6	Q15654
TRMT1	Q9NXH9
TRMT10B	Q6PF06
TRMT13	Q9NUP7
TRPM1	Q7Z4N2
TRPM4	Q8TD43
TRPM7	Q96QT4
TRPV2	Q9Y5S1
TRPV3	Q8NET8
TSG101	Q99816
TSGA13	Q96PP4
TSHZ3	Q63HK5
TSPAN15	O95858
TSPAN16	Q9UKR8
TSPAN5	P62079
TSPO2	Q5TGU0
TTC17	Q96AE7
TTC7B	Q86TV6
TTLL12	Q14166
TTLL5	Q6EMB2
TTYH1	Q9H313
TULP3	O75386
TWF2	Q6IBS0
TXK	P42681
TXNDC11	Q6PKC3
TXNIP	Q9H3M7
TYROBP	O43914
TYW3	Q6IPR3
UAP1	Q16222
UBA3	Q8TBC4
UBA52	P62987
UBAC1	Q9BSL1
UBAP1	Q9NZ09
UBE2A	P49459
UBE2B	P63146
UBE2C	O00762
UBE2D1	P51668
UBE2D2	P62837
UBE2D3	P61077
UBE2D4	Q9Y2X8
UBE2K	P61086
UBE2QL1	A1L167
UBE2S	Q16763
UBE3C	Q15386
UBQLN2	Q9UHD9
UBR2	Q8IWV8
UBTD1	Q9HAC8
UCP3	P55916
ULBP1	Q9BZM6
ULBP2	Q9BZM5
UNC5A	Q6ZN44
UNC79	Q9P2D8
UQCC1	Q9NVA1
USP14	P54578
USP2	O75604
USP20	Q9Y2K6
USP21	Q9UK80
USP29	Q9HBJ7
USP4	Q13107
USP53	Q70EK8
UTP20	O75691
UTRN	P46939
VAMP5	O95183
VAMP8	Q9BV40
VANGL1	Q8TAA9
VASP	P50552
VCPIP1	Q96JH7
VIL1	P09327
VPS36	Q86VN1
VPS50	Q96JG6
VSIG4	Q9Y279
VTCN1	Q7Z7D3
VWA5B1	Q5TIE3
VWA7	Q9Y334
WAS	P42768
WASF2	Q9Y6W5
WBP4	O75554
WDFY3	Q8IZQ1
WDR1	O75083
WDR12	Q9GZL7
WDR13	Q9H1Z4
WDR53	Q7Z5U6
WDR6	Q9NNW5
WIPF1	O43516
WWP1	Q9H0M0
XAGE2	Q96GT9
XAGE3	Q8WTP9
XIAP	P98170
XIRP2	A4UGR9
XPC	Q01831
XPNPEP2	O43895
XPO6	Q96QU8
XRN1	Q8IZH2
XYLT1	Q86Y38
YBX1	P67809
YES1	P07947
YIPF1	Q9Y548
YIPF4	Q9BSR8
YOD1	Q5VVQ6
YTHDC1	Q96MU7
ZBED3	Q96IU2
ZBTB33	Q86T24
ZBTB8OS	Q8IWT0
ZDHHC2	Q9UIJ5
ZDHHC20	Q5W0Z9
ZDHHC22	Q8N966
ZDHHC5	Q9C0B5
ZFP41	Q8N8Y5
ZFP90	Q8TF47
ZFYVE28	Q9HCC9
ZGPAT	Q8N5A5
ZMYND10	O75800
ZNF10	P21506
ZNF18	P17022
ZNF185	O15231
ZNF2	Q9BSG1
ZNF227	Q86WZ6
ZNF229	Q9UJW7
ZNF276	Q8N554
ZNF277	Q9NRM2
ZNF337	Q9Y3M9
ZNF397	Q8NF99
ZNF407	Q9C0G0
ZNF474	Q6S9Z5
ZNF503	Q96F45
ZNF510	Q9Y2H8
ZNF571	Q7Z3V5
ZNF598	
ZNF599	Q96NL3
ZNF646	O15015
ZNF655	Q8N720
ZNF688	P0C7X2
ZNF706	Q9Y5V0
ZNF717	Q9BY31
ZNF783	Q6ZMS7
ZNF79	Q15937
ZNF839	A8K0R7
ZNG1A	Q9BRT8
ZNG1B	Q8IUF1
ZNG1C	Q5JTY5
ZNG1E	Q5RIA9
ZNG1F	Q4V339
ZSCAN22	P10073
ZSCAN29	Q8IWY8
ZSWIM1	Q9BR11
ZSWIM8	A7E2V4
ZYX	Q15942
